regressor__subsample,regressor__n_estimators,regressor__min_child_weight,regressor__max_depth,regressor__learning_rate,regressor__gamma,mae_avg,mae_std,medae_avg,medae_std,mse_avg,mse_std,rmse_avg,rmse_std,r2_avg,r2_std
0.75,50,3,10,0.3,0,5.853454406616949,0.1401202312668575,4.312507899602254,0.130883958550702,64.09290776111528,2.5150059624432575,8.004237548842099,0.15839514772081936,0.1568241271787973,0.043041422916759366
0.75,100,5,10,0.01,1,5.918492789217252,0.13762581995048784,4.461570072174072,0.09734408277993095,66.15834417264426,3.141447577619929,8.131425216768465,0.19562238303987756,0.13022254428455873,0.039493805745792
1.0,100,5,5,0.5,1,5.824977081486385,0.13888824321399298,4.288087209065755,0.13454504210314486,63.544963369439856,2.492994101444817,7.969950249844434,0.15765907663217524,0.16401108159959313,0.04309168775371901
1.0,10,3,5,0.3,5,5.822905337894211,0.137277816001428,4.304848098754883,0.1252251746967296,63.51582446176865,2.4921695779594786,7.968120947380842,0.15771185649556516,0.16440874398937538,0.04279671236515704
0.75,100,1,10,0.3,0,5.869529529995524,0.14336645550248614,4.325353940327963,0.13287465253652925,64.41936492280149,2.5573047286822974,8.024559656422348,0.16064632993114983,0.15258376184426167,0.042499834211808925
1.0,20,1,5,0.1,5,5.832308159512546,0.1353264504697266,4.326818259557088,0.11549066030674467,63.86456217165809,2.6365720061218187,7.989793549674834,0.1666169416131676,0.15995636386247905,0.04181766793233426
0.75,50,1,20,0.3,0,5.940619676737411,0.14416920653240775,4.3708717107772825,0.14448843082378307,65.86015458426616,2.565275394958195,8.11386444380128,0.1592431219346988,0.13350829006983525,0.04531999942567461
1.0,100,5,20,0.3,1,5.848309512868699,0.13950678356508395,4.317072383562724,0.13240045362460165,63.98355428405274,2.498858602744335,7.997421094896232,0.15751226924113873,0.15822110719323257,0.04365738680361279
0.75,20,1,5,0.1,1,5.832134355026662,0.13541725784565248,4.3280941645304365,0.12030425437453394,63.85591117980993,2.6261350047911205,7.989265919062634,0.16595557934034805,0.16005792817898545,0.04194043122707103
1.0,20,1,20,0.01,1,6.307184254754142,0.1635636313363485,4.770220184326172,0.0811673586246659,75.75166789427499,4.957531268471594,8.698735622054196,0.2892515719583935,0.00558898687720133,0.034430558972883524
0.75,100,5,5,0.5,5,5.8231857418014155,0.13785067573123572,4.291731373469034,0.130865147352347,63.51721526005244,2.457843687319662,7.968252187191757,0.15547456822977818,0.1643556411984374,0.043106693144811206
1.0,100,5,20,0.3,0,5.921745583604823,0.14472483659104876,4.335379791259765,0.17679609724626752,65.5032039428014,2.575072581401204,8.091817049883481,0.16031460949153897,0.1381932036847726,0.045546989748991684
1.0,50,5,5,0.1,5,5.821112282736863,0.13716160072367836,4.283319203058879,0.1332080785370413,63.48156523734882,2.459522388442423,7.966011222276128,0.15566131156972043,0.16483058973111173,0.043000253949705046
1.0,50,1,10,0.01,0,6.086541449078373,0.1478712224909928,4.611692078908284,0.07383753212114962,70.34569664802694,3.9686537873971557,8.38379547394887,0.24014599522244728,0.07586821826958612,0.03622571987592125
1.0,10,1,5,0.1,0,5.911349995799408,0.13632447099654485,4.458737214406331,0.08261084879441291,65.96263486626937,3.121292811848043,8.119405961456529,0.1946322155593507,0.13281898691122732,0.03867114681362954
0.75,50,5,10,0.1,0,5.834915803476326,0.13932108409480906,4.297874732812246,0.13124084555039417,63.74809369447585,2.510071054577243,7.98266717626425,0.15848800418078843,0.16134683433081792,0.04316965280352248
1.0,20,3,5,0.1,5,5.832308159512546,0.1353264504697266,4.326818259557088,0.11549066030674467,63.86456217165809,2.6365720061218187,7.989793549674834,0.1666169416131676,0.15995636386247905,0.04181766793233426
0.75,10,1,20,0.01,5,6.412754093616936,0.1721121523481367,4.823100066184997,0.1041679208521921,78.36304554839276,5.445804342768109,8.846777064014269,0.31237978171423747,-0.028352607077983344,0.03418884011035358
0.75,50,5,10,0.5,1,5.858699984738326,0.14216120601569762,4.314909323056539,0.13462652233612193,64.19451915814525,2.531100077068094,8.0105641749273,0.15931339402759842,0.15552238254611794,0.042546328838051525
1.0,20,3,10,0.3,0,5.838286682057986,0.13910430732883036,4.3047598997751875,0.13159297162084116,63.80716910003203,2.504418494342455,7.986374791293537,0.15807211336331614,0.16058104448822408,0.042898000134272876
0.75,20,3,5,0.1,0,5.832084819811963,0.13548561610291313,4.328181409835816,0.1203572906058525,63.85514945209187,2.628175842352329,7.989215515347029,0.16608702968678007,0.16006891939449752,0.041944850613330746
1.0,50,1,20,0.3,0,5.933624408359817,0.14467325235414064,4.340336120128631,0.17877650883770935,65.77695290036881,2.5585793630998364,8.108741842324356,0.15892965395742967,0.13459985906558103,0.04528579209530907
0.75,100,1,5,0.5,0,5.833353499064833,0.139490796379736,4.292037216822306,0.1329272416959037,63.7012304312418,2.4961964281669466,7.979747995432403,0.15764631500399665,0.16194934567422445,0.043280288445683435
0.75,20,3,10,0.01,5,6.305020466052264,0.16302958180313593,4.764934746424357,0.08554608230823368,75.72779983771093,4.9671966000971395,8.697343870284357,0.2898438195615945,0.0059179524145041296,0.03424385616371022
1.0,50,1,10,0.3,5,5.822635511100605,0.13718285693948581,4.2820918162663775,0.1372038291062982,63.49259623595243,2.4588732566575935,7.966705072881759,0.1555844390434528,0.16467827479546376,0.0431364688820988
1.0,20,5,10,0.3,0,5.837182016764601,0.13910479449654767,4.301232242584228,0.1323679176903377,63.779153027450995,2.4996702671762767,7.984625792650903,0.1578099451394622,0.1609332097989114,0.0431633764903951
0.75,100,5,20,0.3,1,5.868982122155839,0.14252696454022004,4.329955557982127,0.12881183602938723,64.4067231110358,2.550961882446733,8.023780062555147,0.16023925479831239,0.152682518935142,0.04377069643058711
1.0,20,3,20,0.1,5,5.832385939342474,0.1354070558049446,4.343595870335896,0.11055005592660462,63.855076652826696,2.622874717870644,7.9892183587901755,0.16573071048159219,0.16005642051069105,0.04215444433771063
0.75,10,5,10,0.3,1,5.832006524005326,0.13784443992137266,4.301933749516805,0.12540912123846615,63.71031861811386,2.524122656917566,7.980281037206501,0.15947785211801666,0.16185043335053126,0.04318751857150718
0.75,10,3,5,0.1,1,5.911686812182191,0.13696603524573964,4.457281907399495,0.08677906288960481,65.95988105269078,3.1305761284524904,8.119222229362673,0.19522152267054851,0.13285873522643946,0.03873454179162882
